Topic/Question,Answer,Category 1,Category 2,Age of Baby,Link 1,Link 2,Link 3,Link 4,Link 5
How do I get my baby to latch properly when breastfeeding? ,"Latching is difficult for most mothers! The ""correct"" latch is one in which the baby's mouth is fully open and able to create a great seal. One effective way to do this is to have Mom's nipple directed at the baby's nose. This sets off a natural reflex in the baby to open wide. Once the baby has opened wide, the baby should be brought to the mother's breast and solidly placed on the breast.",Breastfeeding,Feeding,0-3 months,Ensuring Proper Latch On (Healthy Children),,,,
How do I reduce the pain when breastfeeding?,"No one really talks about how painful breastfeeding is. If it hurts, you’re not alone! To avoid bleeding and cracked nipples, make sure that your baby is latched properly with their lips completely sealed around your breast. After feeding, gently pat your nipples dry and try applying colostrum, breast milk, or medical-grade purified lanolin to soothe your nipples. 

Some women will experience ""let-down"" pain for the first 10-15 seconds of the feed, this pain should go away after this period.  If it does not, other sources of pain in the breast should be identified.  Take note of where you are experiencing pain - is it in the outer quadrants of the breast tissue? the nipple itself? is it during the feed or after the feed? is it a shooting pain or a cramping pain? This will help to identify the source of the pain.  Most often, nipple pain is related to a latch that is shallow.  While working on improving the latch (this can take time!), follow these tips (as you write in the blurb).  Make sure to take baby off the breast after the feed and try to not let baby just sleep on the nipple; you will know when the baby is done with the feed when baby either a) lets go on his/her own, b) starts to loosen the latch and/or just ""nibble"" at the nipple - to easily break the seal, place your pinky finger in the corner of the baby's mouth to remove baby without hurting your nipple.
",Breastfeeding,Feeding,0-3 months,Treating Breast Pain (Healthy Children),Clogged Milk Ducts (Healthy Children),Engorgement (Healthy Children),,
How do I know if my baby is getting enough breast milk? And does my baby need formula in addition to breast milk?,"Signs that baby is full are that baby turns head away from your breast or bottle, baby closes their mouth, and/or baby relaxes their arms or hands. Most babies do not need formula in addition to breast milk. The best way to know if a baby is getting enough milk is to monitor for the number of wet diapers and bowel movements!",Breastfeeding,Feeding,0-3 months,Making Sure Your Baby is Getting Enough Milk (Healthy Children),How Often to Breastfeed (Healthy Children),How to Tell if Baby is Getting Enough Milk (Healthy Children),,
What can I eat while breastfeeding?,All foods are okay for breastfeeding mothers! Try not to restrict or change your diet from what you are comfortable with other than limiting mercury-containing fish intake. Vitamin D supplements are recommended to help enrich breastmilk. Moms are also encouraged to continue prenatal vitamins while breastfeeding.,Breastfeeding,Feeding,0-3 months,How a Healthy Diet Helps You Breastfeed (Healthy Children),Medications and Breastfeeding (Healthy Children),,,
What are the different breastfeeding positions that I can try?,"You can try different positions, including a cradle hold, clutch (or football) hold, and cross-cradle (or crossover) hold. You also can try the laid-back hold and the side-lying hold.",Breastfeeding,Feeding,0-3 months,,,,,
Why do I feel as though my milk supply is low? And how can I increase my milk supply?,"Good hydration and enough rest can do wonders for your milk supply! Also, fenugreek, raspberry leaf, and mother’s milk tea (proprietary herbal mix) are often recommended. Increasing milk supply can also happen the more often baby is put to the breast.  Some lactation consultants swear by blue gatorade to increase milk supply.",Breastfeeding,Feeding,0-3 months,,,,,
How should I incorporate pumping into my schedule? Why is pumping important to do?,Having a good breast pump can be really helpful! You can also get a free pump through your insurance. Pumping stimulates the breasts just like a newborn’s sucking does but can be sustained for a longer period compared with some newborns.,Breastfeeding,Feeding,0-3 months,,,,,
Can you drink alcohol while breastfeeding?,"It is okay to treat yourself to a drink! Having up to one standard drink (aka 12 ounces of beer, 5 ounces of wine, and 1.5 ounces of hard liquor) a day is not known to be harmful to your baby when breastfeeding. After one standard drink, wait about two hours when breastfeeding.",Breastfeeding,Feeding,0-3 months,,,,,
"If I need to nurse my baby every three hours, when does the interval start and end?",Feeding every three hours means three hours from the start of one feeding to the start of the next one. It can be hard to frequently nurse when your nursing can seem like it is taking really long! Nursing will get quicker and easier over time.,Breastfeeding,Feeding,0-3 months,,,,,
How long should I breastfeed for?,"The American Academy of Pediatrics recommends nursing for 12 months, exclusively for the first six. However, you should decide when to stop when it’s right for you!",Breastfeeding,Feeding,0-3 months,,,,,
